movieId,title,genres,year
181659,Craig Ferguson: Tickle Fight (2017),Comedy,2017
182715,Annihilation (2018),Adventure|Mystery|Sci-Fi|Thriller,2018
182727,A Christmas Story Live! (2017),(no genres listed),2017
182749,Judd Apatow: The Return (2017),Comedy,2017
182823,Bright (2017),Action|Crime|Fantasy,2017
183011,The Commuter (2018),Crime|Drama|Mystery|Thriller,2018
183197,Dave Chappelle: Equanimity (2017),Comedy,2017
183199,Quest (2017),Documentary,2017
183227,Dave Chappelle: The Bird Revelation (2017),Comedy,2017
183295,Insidious: The Last Key (2018),Horror|Mystery|Thriller,2018
183611,Game Night (2018),Action|Comedy|Crime|Horror,2018
183635,Maze Runner: The Death Cure (2018),Action|Mystery|Sci-Fi|Thriller,2018
183897,Isle of Dogs (2018),Animation|Comedy,2018
183911,The Clapper (2018),Comedy,2018
183959,Tom Segura: Disgraceful (2018),Comedy,2018
184015,When We First Met (2018),Comedy,2018
184253,The Cloverfield Paradox (2018),Horror|Mystery|Sci-Fi|Thriller,2018
184471,Tomb Raider (2018),Action|Adventure|Fantasy,2018
184641,Fullmetal Alchemist 2018 (2017),Action|Adventure|Fantasy,2017
184721,First Reformed (2017),Drama|Thriller,2017
184791,Fred Armisen: Standup for Drummers (2018),Comedy,2018
184931,Death Wish (2018),Action|Crime|Drama|Thriller,2018
184987,A Wrinkle in Time (2018),Adventure|Children|Fantasy|Sci-Fi,2018
184997,"Love, Simon (2018)",Comedy|Drama,2018
185029,A Quiet Place (2018),Drama|Horror|Thriller,2018
185031,Alpha (2018),Adventure|Thriller,2018
185033,I Kill Giants (2018),Drama|Fantasy|Thriller,2018
185435,"Game Over, Man! (2018)",Action|Comedy,2018
185473,Blockers (2018),Comedy,2018
185585,Pacific Rim: Uprising (2018),Action|Fantasy|Sci-Fi,2018
186587,Rampage (2018),Action|Adventure|Sci-Fi,2018
187031,Jurassic World: Fallen Kingdom (2018),Action|Adventure|Drama|Sci-Fi|Thriller,2018
187541,Incredibles 2 (2018),Action|Adventure|Animation|Children,2018
187593,Deadpool 2 (2018),Action|Comedy|Sci-Fi,2018
187595,Solo: A Star Wars Story (2018),Action|Adventure|Children|Sci-Fi,2018
187717,Won't You Be My Neighbor? (2018),Documentary,2018
188189,Sorry to Bother You (2018),Comedy|Fantasy|Sci-Fi,2018
188301,Ant-Man and the Wasp (2018),Action|Adventure|Comedy|Fantasy|Sci-Fi,2018
188675,Dogman (2018),Crime|Drama,2018
188751,Mamma Mia: Here We Go Again! (2018),Comedy|Romance,2018
188797,Tag (2018),Comedy,2018
188833,The Man Who Killed Don Quixote (2018),Adventure|Comedy|Fantasy,2018
189043,Boundaries (2018),Comedy|Drama,2018
189111,Spiral (2018),Documentary,2018
189333,Mission: Impossible - Fallout (2018),Action|Adventure|Thriller,2018
189381,SuperFly (2018),Action|Crime|Thriller,2018
189713,BlacKkKlansman (2018),Comedy|Crime|Drama,2018
190183,The Darkest Minds (2018),Sci-Fi|Thriller,2018
190209,Jeff Ross Roasts the Border (2017),Comedy,2017
190215,Liquid Truth (2017),Drama,2017
191005,Gintama (2017),Action|Adventure|Comedy|Sci-Fi,2017
193581,Black Butler: Book of the Atlantic (2017),Action|Animation|Comedy|Fantasy,2017
193583,No Game No Life: Zero (2017),Animation|Comedy|Fantasy,2017
193585,Flint (2017),Drama,2017
193587,Bungo Stray Dogs: Dead Apple (2018),Action|Animation,2018
